Index,No.,District,Subway,Price per sqm,1,2
,78,Люблино ,ВолжскаяЛюблино ,139670,+0,7
,79,ВосточныйНовокосино ,Новокосино ,139256,+0,5
,80,ЛосиноостровскийЯрославский ,138319,-0,1,
,81,ВешнякиВыхино-Жулебино ,Выхино ,137797,-0,1
,82,ВнуковоНово-Переделкино ,Боровское шоссеНовопеределкиноРассказовкаСаларьевоФилатов луг ,131152,+0,4
,83,ЖулебиноКожуховоКосино-УхтомскийНекрасовка ,ЖулебиноКосиноКотельникиЛермонтовский проспектЛухмановскаяНекрасовкаУлица Дмитриевского ,129535,-0,7
,84,Бирюлево ВосточноеБирюлево Западное ,126599,3,,
,85,Южное Бутово ,Бульвар адмирала УшаковаБунинская аллеяКоммунаркаОльховаяПрокшиноУлица ГорчаковаУлица Скобелевская ,126272,0,0
,86,Зеленоград, КрюковоМатушкиноСавёлкиСилиноСтарое Крюково ,115474,5,
,,,,,,
